team,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MTL,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,VGK,WPG,WSH
COL,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUS,0,0,0,0,1,2,0,1,2,3,0,0,1,1,0,0,0,0,0,2,0,1,1,0,2,3,2,1,0,1,3
SWE,4,3,1,3,1,1,3,3,3,2,5,2,0,2,2,0,2,3,1,4,2,2,2,3,2,2,3,4,1,0,3
CZE,0,0,2,1,1,1,2,1,0,2,1,0,0,0,0,0,1,0,0,1,0,2,1,1,0,1,0,0,1,0,2
GBR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN,0,0,1,1,2,3,0,0,1,3,0,2,2,0,2,4,1,2,2,0,0,0,1,1,0,0,1,1,0,1,0
SVN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
USA,6,9,9,8,4,5,6,5,5,2,6,0,3,8,10,2,10,4,4,8,5,2,8,4,2,5,4,5,6,9,7
CHE,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0
AUT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SVK,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
GER,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAN,7,7,4,5,9,8,9,7,0,8,9,12,12,9,5,12,3,8,11,4,10,12,6,9,14,10,10,9,12,8,5
FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LVA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
